run_id,task,dataset,model,seed,n_samples,acc_lenient_labeled,acc_math_lenient_labeled,format_error_rate_strict,format_error_rate_lenient,steps_mean,steps_p50,steps_p90,p_hit_max,stop_uncertainty,auc_incorrect_surprisal_early,auc_incorrect_entropy_early,auc_incorrect_spike,report_json
lcp_p1_v1.trivia.meta-llama-meta-llama-3-1-8b-instruct.seed1.n200,trivia,trivia_qa/unfiltered.nocontext:validation,meta-llama/Meta-Llama-3.1-8B-Instruct,1,200,0.305,0.305,0.64,0.0,22.3,32.0,32.0,0.625,0,0.5895184889598297,0.6868848097898377,0.5,/content/drive/MyDrive/grokking_artifacts/latent_configuration/01_interpretable_latent_probes/runs/lcp_p1_v1.trivia.meta-llama-meta-llama-3-1-8b-instruct.seed1.n200/analysis/report.json
lcp_p1_v1.trivia.meta-llama-meta-llama-3-1-8b-instruct.seed2.n200,trivia,trivia_qa/unfiltered.nocontext:validation,meta-llama/Meta-Llama-3.1-8B-Instruct,2,200,0.325,0.325,0.745,0.0,25.025,32.0,32.0,0.735,0,0.6001285760205721,0.7431693989071039,0.5,/content/drive/MyDrive/grokking_artifacts/latent_configuration/01_interpretable_latent_probes/runs/lcp_p1_v1.trivia.meta-llama-meta-llama-3-1-8b-instruct.seed2.n200/analysis/report.json
lcp_p1_v1.trivia.mistralai-mistral-7b-instruct-v0-3.seed0.n200,trivia,trivia_qa/unfiltered.nocontext:validation,mistralai/Mistral-7B-Instruct-v0.3,0,200,0.5051546391752577,0.5051546391752577,0.9,0.03,25.97,32.0,32.0,0.57,0,0.3201530612244898,0.41964285714285715,0.5331632653061225,/content/drive/MyDrive/grokking_artifacts/latent_configuration/01_interpretable_latent_probes/runs/lcp_p1_v1.trivia.mistralai-mistral-7b-instruct-v0-3.seed0.n200/analysis/report.json
lcp_p1_v1.trivia.mistralai-mistral-7b-instruct-v0-3.seed1.n200,trivia,trivia_qa/unfiltered.nocontext:validation,mistralai/Mistral-7B-Instruct-v0.3,1,200,0.5128205128205128,0.5128205128205128,0.88,0.025,25.245,32.0,32.0,0.545,0,0.27319587628865977,0.23281786941580757,0.5257731958762887,/content/drive/MyDrive/grokking_artifacts/latent_configuration/01_interpretable_latent_probes/runs/lcp_p1_v1.trivia.mistralai-mistral-7b-instruct-v0-3.seed1.n200/analysis/report.json
lcp_p1_v1.trivia.mistralai-mistral-7b-instruct-v0-3.seed2.n200,trivia,trivia_qa/unfiltered.nocontext:validation,mistralai/Mistral-7B-Instruct-v0.3,2,200,0.5561224489795918,0.5561224489795918,0.91,0.02,25.5,32.0,32.0,0.53,0,0.365234375,0.4069010416666667,0.5208333333333334,/content/drive/MyDrive/grokking_artifacts/latent_configuration/01_interpretable_latent_probes/runs/lcp_p1_v1.trivia.mistralai-mistral-7b-instruct-v0-3.seed2.n200/analysis/report.json
lcp_p1_v1.trivia.qwen-qwen2-5-14b-instruct.seed0.n200,trivia,trivia_qa/unfiltered.nocontext:validation,Qwen/Qwen2.5-14B-Instruct,0,200,0.41708542713567837,0.41708542713567837,0.525,0.005,15.94,11.5,32.0,0.34,0,0.7631118881118881,0.7988053613053613,0.7147435897435898,/content/drive/MyDrive/grokking_artifacts/latent_configuration/01_interpretable_latent_probes/runs/lcp_p1_v1.trivia.qwen-qwen2-5-14b-instruct.seed0.n200/analysis/report.json
lcp_p1_v1.trivia.qwen-qwen2-5-14b-instruct.seed1.n200,trivia,trivia_qa/unfiltered.nocontext:validation,Qwen/Qwen2.5-14B-Instruct,1,200,0.39,0.39,0.485,0.0,15.755,10.5,32.0,0.33,0,0.7202867383512545,0.7308960573476703,0.7,/content/drive/MyDrive/grokking_artifacts/latent_configuration/01_interpretable_latent_probes/runs/lcp_p1_v1.trivia.qwen-qwen2-5-14b-instruct.seed1.n200/analysis/report.json
lcp_p1_v1.trivia.qwen-qwen2-5-14b-instruct.seed2.n200,trivia,trivia_qa/unfiltered.nocontext:validation,Qwen/Qwen2.5-14B-Instruct,2,200,0.44,0.44,0.515,0.0,15.635,10.5,32.0,0.32,0,0.6982024597918638,0.7199621570482497,0.6788079470198676,/content/drive/MyDrive/grokking_artifacts/latent_configuration/01_interpretable_latent_probes/runs/lcp_p1_v1.trivia.qwen-qwen2-5-14b-instruct.seed2.n200/analysis/report.json
lcp_p1_v1.wiki.meta-llama-meta-llama-3-1-8b-instruct.seed0.n200,wiki,wikipedia/20220301.en:train,meta-llama/Meta-Llama-3.1-8B-Instruct,0,200,nan,nan,0.0,0.0,130.255,67.0,256.0,0.345,131,nan,nan,nan,/content/drive/MyDrive/grokking_artifacts/latent_configuration/01_interpretable_latent_probes/runs/lcp_p1_v1.wiki.meta-llama-meta-llama-3-1-8b-instruct.seed0.n200/analysis/report.json
lcp_p1_v1.wiki.meta-llama-meta-llama-3-1-8b-instruct.seed1.n200,wiki,wikipedia/20220301.en:train,meta-llama/Meta-Llama-3.1-8B-Instruct,1,200,nan,nan,0.0,0.0,133.495,68.0,256.0,0.345,131,nan,nan,nan,/content/drive/MyDrive/grokking_artifacts/latent_configuration/01_interpretable_latent_probes/runs/lcp_p1_v1.wiki.meta-llama-meta-llama-3-1-8b-instruct.seed1.n200/analysis/report.json
lcp_p1_v1.wiki.meta-llama-meta-llama-3-1-8b-instruct.seed2.n200,wiki,wikipedia/20220301.en:train,meta-llama/Meta-Llama-3.1-8B-Instruct,2,200,nan,nan,0.0,0.0,134.305,70.0,256.0,0.355,129,nan,nan,nan,/content/drive/MyDrive/grokking_artifacts/latent_configuration/01_interpretable_latent_probes/runs/lcp_p1_v1.wiki.meta-llama-meta-llama-3-1-8b-instruct.seed2.n200/analysis/report.json
lcp_p1_v1.wiki.mistralai-mistral-7b-instruct-v0-3.seed0.n200,wiki,wikipedia/20220301.en:train,mistralai/Mistral-7B-Instruct-v0.3,0,200,nan,nan,0.0,0.0,150.445,116.0,256.0,0.41,118,nan,nan,nan,/content/drive/MyDrive/grokking_artifacts/latent_configuration/01_interpretable_latent_probes/runs/lcp_p1_v1.wiki.mistralai-mistral-7b-instruct-v0-3.seed0.n200/analysis/report.json
lcp_p1_v1.wiki.mistralai-mistral-7b-instruct-v0-3.seed1.n200,wiki,wikipedia/20220301.en:train,mistralai/Mistral-7B-Instruct-v0.3,1,200,nan,nan,0.0,0.0,156.035,121.5,256.0,0.46,108,nan,nan,nan,/content/drive/MyDrive/grokking_artifacts/latent_configuration/01_interpretable_latent_probes/runs/lcp_p1_v1.wiki.mistralai-mistral-7b-instruct-v0-3.seed1.n200/analysis/report.json
lcp_p1_v1.wiki.mistralai-mistral-7b-instruct-v0-3.seed2.n200,wiki,wikipedia/20220301.en:train,mistralai/Mistral-7B-Instruct-v0.3,2,200,nan,nan,0.0,0.0,147.325,111.0,256.0,0.41,118,nan,nan,nan,/content/drive/MyDrive/grokking_artifacts/latent_configuration/01_interpretable_latent_probes/runs/lcp_p1_v1.wiki.mistralai-mistral-7b-instruct-v0-3.seed2.n200/analysis/report.json
lcp_p1_v1.wiki.qwen-qwen2-5-14b-instruct.seed0.n200,wiki,wikipedia/20220301.en:train,Qwen/Qwen2.5-14B-Instruct,0,200,nan,nan,0.0,0.0,136.785,72.5,256.0,0.37,126,nan,nan,nan,/content/drive/MyDrive/grokking_artifacts/latent_configuration/01_interpretable_latent_probes/runs/lcp_p1_v1.wiki.qwen-qwen2-5-14b-instruct.seed0.n200/analysis/report.json
lcp_p1_v1.wiki.qwen-qwen2-5-14b-instruct.seed1.n200,wiki,wikipedia/20220301.en:train,Qwen/Qwen2.5-14B-Instruct,1,200,nan,nan,0.0,0.0,147.355,100.5,256.0,0.415,117,nan,nan,nan,/content/drive/MyDrive/grokking_artifacts/latent_configuration/01_interpretable_latent_probes/runs/lcp_p1_v1.wiki.qwen-qwen2-5-14b-instruct.seed1.n200/analysis/report.json
lcp_p1_v1.wiki.qwen-qwen2-5-14b-instruct.seed2.n200,wiki,wikipedia/20220301.en:train,Qwen/Qwen2.5-14B-Instruct,2,200,nan,nan,0.0,0.0,146.335,107.5,256.0,0.385,123,nan,nan,nan,/content/drive/MyDrive/grokking_artifacts/latent_configuration/01_interpretable_latent_probes/runs/lcp_p1_v1.wiki.qwen-qwen2-5-14b-instruct.seed2.n200/analysis/report.json
